Apoorv Agarwal
Alfred Aho
Peter Allen
Knarig Arabshian
Salman Baset
Peter Belhumeur
Steven Bellovin
Alexandros Biliris
Paul Blaer
Matthew Burnside
Adam Cannon
Luca Carloni
Augustin  Chaintreau
Xi Chen
Seung Choi
Maria Chudnovsky
Michael Collins
German Creamer
Ang Cui
Stephen Edwards
David Elson
James Fei
Steven Feiner
Jon Feldman
Eugene Galanter
Luis Gravano
Eitan Grinspun
Philip Gross
Jonathan Gross
Nizar Habash
Shlomo Hershkop
Julia Hirschberg
Robert Holliday
Bert Huang
Ramana Isukapalli
Tony Jebara
Gail Kaiser
John Kender
Angelos Keromytis
Martha Kim
Jae Lee
Christina Leslie
Abishek Madduri
Tal Malkin
Michael Mauel
Kathleen McKeown
Vishal Misra
Claire Monteleoni
Mitchell Morris
Erich Nahum
Shree Nayar
Jason Nieh
Steven Nowick
Anargyros Papageorgiou
Alexander Pasik
Itshack Pe'er
Terence Pender
Dragomir Radev
Ravi Ramamoorthi
Michael Reed
Ken Ross
Daniel Rubenstein
Vijay Saraswat
Henning Schulzrinne
Rocco Servedio
Simha Sethumadhavan
Blake Shaw
Swapneel Sheth
Edward Shortliffe
David Sidorsky
Clifford Stein
Salvatore Stolfo
Emily Stolfo
Dawn Strickland
Joseph Traub
Stephen Unger
David Vawdrey
Jonathan Voris
Gregory Whalen
Henryk Wozniakowski
Junfeng Yang
Mihalis Yannakakis
Bernard Yee
Yechiam Yemini
John Zhang
Gil Zussman
